Attempting MQTT connection...failed, rc=-2 try again in 5 seconds
Attempting MQTT connection...failed, rc=-2 try again in 5 seconds
Attempting MQTT connection...failed, rc=-2 try again in 5 seconds
Attempting MQTT connection...failed, rc=-2 try again in 5 seconds
Attempting MQTT connection...failed, rc=-2 try again in 5 seconds
Attempting MQTT connection...failed, rc=-2 try again in 5 seconds
Attempting MQTT connection...failed, rc=-2 try again in 5 seconds
Attempting MQTT connection...connected
[TFM/test/1], AA, -71, 18:49:45, DD, 24,    -67, 18:49:45, 
[TFM/test/1], AA, -72, 18:49:45, BB, 30,    -81, 18:49:45, 
[TFM/test/1], AA, -72, 18:49:45, HH, 53,    -64, 18:49:45, 
[TFM/test/1], AA, -73, 18:49:46, AA, 27,    -72, 18:49:46, 
[TFM/test/1], AA, -73, 18:49:49, HH, 54,    -63, 18:49:49, 
[TFM/test/1], AA, -73, 18:49:51, FF, 30,    -69, 18:49:51, 
[TFM/test/1], AA, -73, 18:49:53, DD, 25,    -67, 18:49:53, 
[TFM/test/1], AA, -73, 18:49:53, BB, 31,    -81, 18:49:53, 
[TFM/test/1], AA, -73, 18:49:54, HH, 55,    -63, 18:49:53, 
[TFM/test/1], AA, -73, 18:49:54, AA, 28,    -73, 18:49:54, 
[TFM/test/1], AA, -72, 18:49:57, HH, 56,    -64, 18:49:57, 
[TFM/test/1], AA, -72, 18:49:59, FF, 31,    -68, 18:49:59, 
[TFM/test/1], AA, -72, 18:50:00, DD, 26,    -68, 18:50:01, 
[TFM/test/1], AA, -72, 18:50:01, BB, 32,    -82, 18:50:01, 
[TFM/test/1], AA, -72, 18:50:02, HH, 57,    -64, 18:50:01, 
[TFM/test/1], AA, -72, 18:50:02, AA, 29,    -72, 18:50:02, 
[TFM/test/1], AA, -73, 18:50:03, EE, 31,    -65, 18:50:03, 
[TFM/test/1], AA, -71, 18:50:05, HH, 58,    -63, 18:50:05, 
[TFM/test/1], AA, -72, 18:50:07, FF, 32,    -68, 18:50:07, 
[TFM/test/1], AA, -72, 18:50:09, DD, 27,    -67, 18:50:09, 
[TFM/test/1], AA, -72, 18:50:09, BB, 33,    -82, 18:50:09, 
[TFM/test/1], AA, -73, 18:50:09, HH, 59,    -64, 18:50:09, 
[TFM/test/1], AA, -73, 18:50:10, AA, 30,    -73, 18:50:10, 
[TFM/test/1], AA, -73, 18:50:11, EE, 32,    -65, 18:50:11, 
[TFM/test/1], AA, -73, 18:50:13, HH, 60,    -63, 18:50:13, 
[TFM/test/1], AA, -72, 18:50:15, FF, 33,    -67, 18:50:15, 
[TFM/test/1], AA, -72, 18:50:17, DD, 28,    -68, 18:50:17, 
[TFM/test/1], AA, -72, 18:50:17, BB, 34,    -82, 18:50:17, 
[TFM/test/1], AA, -72, 18:50:18, AA, 31,    -72, 18:50:18, 
[TFM/test/1], AA, -73, 18:50:18, HH, 61,    -64, 18:50:19, 
[TFM/test/1], AA, -72, 18:50:19, EE, 33,    -65, 18:50:19, 
[TFM/test/1], AA, -72, 18:50:23, HH, 62,    -63, 18:50:23, 
[TFM/test/1], AA, -72, 18:50:23, FF, 34,    -68, 18:50:23, 
[TFM/test/1], AA, -72, 18:50:25, DD, 29,    -67, 18:50:25, 
[TFM/test/1], AA, -72, 18:50:25, BB, 35,    -84, 18:50:25, 
[TFM/test/1], AA, -72, 18:50:26, AA, 32,    -72, 18:50:26, 
[TFM/test/1], AA, -72, 18:50:27, HH, 63,    -63, 18:50:27, 
[TFM/test/1], AA, -72, 18:50:27, EE, 34,    -66, 18:50:27, 
[TFM/test/1], AA, -72, 18:50:30, HH, 64,    -63, 18:50:31, 
[TFM/test/1], AA, -72, 18:50:31, FF, 35,    -68, 18:50:31, 
[TFM/test/1], AA, -72, 18:50:33, DD, 30,    -67, 18:50:33, 
[TFM/test/1], AA, -72, 18:50:33, BB, 36,    -83, 18:50:33, 
[TFM/test/1], AA, -74, 18:50:34, AA, 33,    -74, 18:50:34, 
[TFM/test/1], AA, -73, 18:50:34, HH, 65,    -64, 18:50:35, 
[TFM/test/1], AA, -73, 18:50:35, EE, 35,    -67, 18:50:35, 
[TFM/test/1], AA, -73, 18:50:38, HH, 66,    -63, 18:50:39, 
[TFM/test/1], AA, -73, 18:50:39, FF, 36,    -68, 18:50:39, 
[TFM/test/1], AA, -72, 18:50:40, DD, 31,    -67, 18:50:41, 
[TFM/test/1], AA, -73, 18:50:41, BB, 37,    -79, 18:50:41, 
[TFM/test/1], AA, -75, 18:50:42, AA, 34,    -75, 18:50:42, 
[TFM/test/1], AA, -75, 18:50:42, HH, 67,    -64, 18:50:43, 
[TFM/test/1], AA, -75, 18:50:43, EE, 36,    -65, 18:50:43, 
[TFM/test/1], AA, -75, 18:50:46, HH, 68,    -63, 18:50:47, 
[TFM/test/1], AA, -75, 18:50:47, FF, 37,    -68, 18:50:47, 
[TFM/test/1], AA, -74, 18:50:49, BB, 38,    -84, 18:50:49, 
[TFM/test/1], AA, -74, 18:50:50, AA, 35,    -74, 18:50:50, 
[TFM/test/1], AA, -74, 18:50:50, HH, 69,    -64, 18:50:51, 
[TFM/test/1], AA, -74, 18:50:51, DD, 32,    -68, 18:50:51, 
[TFM/test/1], AA, -74, 18:50:51, EE, 37,    -66, 18:50:51, 
[TFM/test/1], AA, -74, 18:50:54, HH, 70,    -63, 18:50:55, 
[TFM/test/1], AA, -75, 18:50:55, FF, 38,    -69, 18:50:55, 
[TFM/test/1], AA, -75, 18:50:57, BB, 39,    -81, 18:50:57, 
[TFM/test/1], AA, -75, 18:50:58, AA, 36,    -75, 18:50:58, 
[TFM/test/1], AA, -75, 18:50:58, HH, 71,    -64, 18:50:59, 
[TFM/test/1], AA, -75, 18:50:59, DD, 33,    -68, 18:50:59, 
[TFM/test/1], AA, -75, 18:50:59, EE, 38,    -66, 18:50:59, 
[TFM/test/1], AA, -75, 18:51:02, HH, 72,    -63, 18:51:03, 
[TFM/test/1], AA, -76, 18:51:03, FF, 39,    -69, 18:51:03, 
[TFM/test/1], AA, -75, 18:51:06, AA, 37,    -75, 18:51:06, 
[TFM/test/1], AA, -74, 18:51:07, DD, 34,    -68, 18:51:07, 
[TFM/test/1], AA, -74, 18:51:07, BB, 40,    -80, 18:51:07, 
[TFM/test/1], AA, -74, 18:51:08, HH, 73,    -64, 18:51:07, 
[TFM/test/1], AA, -74, 18:51:09, EE, 39,    -66, 18:51:09, 
[TFM/test/1], AA, -74, 18:51:10, HH, 74,    -63, 18:51:11, 
[TFM/test/1], AA, -76, 18:51:12, FF, 40,    -69, 18:51:12, 
[TFM/test/1], AA, -76, 18:51:14, AA, 38,    -76, 18:51:14, 
[TFM/test/1], AA, -75, 18:51:14, HH, 75,    -64, 18:51:15, 
[TFM/test/1], AA, -75, 18:51:15, DD, 35,    -69, 18:51:15, 
[TFM/test/1], AA, -75, 18:51:15, BB, 41,    -81, 18:51:15, 
[TFM/test/1], AA, -74, 18:51:17, EE, 40,    -65, 18:51:17, 
[TFM/test/1], AA, -75, 18:51:20, FF, 41,    -68, 18:51:20, 
[TFM/test/1], AA, -75, 18:51:20, HH, 76,    -65, 18:51:21, 
[TFM/test/1], AA, -75, 18:51:22, AA, 39,    -75, 18:51:22, 
[TFM/test/1], AA, -76, 18:51:28, DD, 36,    -68, 18:51:23, 
[TFM/test/1], AA, -76, 18:51:28, BB, 42,    -81, 18:51:23, 
[TFM/test/1], AA, -76, 18:51:28, HH, 77,    -64, 18:51:25, 
[TFM/test/1], AA, -76, 18:51:28, EE, 41,    -66, 18:51:25, 
[TFM/test/1], AA, -76, 18:51:28, FF, 42,    -68, 18:51:28, 
[TFM/test/1], AA, -75, 18:51:28, HH, 78,    -63, 18:51:29, 
[TFM/test/1], AA, -74, 18:51:30, AA, 40,    -74, 18:51:30, 
[TFM/test/1], AA, -74, 18:51:30, DD, 37,    -68, 18:51:31, 
[TFM/test/1], AA, -74, 18:51:31, BB, 43,    -81, 18:51:31, 
[TFM/test/1], AA, -74, 18:51:32, HH, 79,    -64, 18:51:33, 
[TFM/test/1], AA, -74, 18:51:33, EE, 42,    -66, 18:51:33, 
[TFM/test/1], AA, -74, 18:51:36, FF, 43,    -67, 18:51:36, 
[TFM/test/1], AA, -74, 18:51:36, HH, 80,    -64, 18:51:37, 
[TFM/test/1], AA, -74, 18:51:38, AA, 41,    -74, 18:51:38, 
